Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
53.11266,74.75022,73.2003,2767.938,1383.969,7.700136,9.36943,11.73306,93.52 yds,2.511844,10.30887,30,52.56391,0,I5,64.50363,-10.89996,0,11.03453,-21.93449,0,0,0,0,0,0,0
100.4534,114.9494,80.28568,4691.561,-386.8758,-12.8455,22.75955,38.02202,61.03 yds,16.03695,-24.72304,-4.730099,100.2971,0,I5,72.79648,-8.959521,0,-14.2733,5.313784,0,0,0,0,0,0,0
77.74094,100.1891,84.27196,2104.793,1052.396,6.123143,10.83982,14.60094,70.16 yds,4.510149,14.439,30,77.30158,0,I5,73.84918,-8.618956,0,8.767237,-17.38619,0,0,0,0,0,0,0
82.76102,86.39259,71.05692,6854.65,-1481.91,-19.30704,28.2315,43.35463,92.16 yds,16.41137,-32.17389,-12.48538,82.58983,0,I5,77.55656,-5.335567,0,-15,9.664433,0,0,0,0,0,0,0
115.6072,129.4196,87.52373,4462.484,-12.2684,-7.235238,22.17537,39.42358,40.34 yds,19.13641,-14.64733,-0.1575196,115.4583,0,I5,75.82159,-7.116924,0,-7.72406,0.6071358,0,0,0,0,0,0,0
109.1394,123.7911,84.29653,4371.861,-617.6378,-9.953617,22.96767,39.86569,52.27 yds,18.11342,-23.65648,-8.121673,109.012,0,I5,77.31821,-4.112569,0,-11.49107,7.378498,0,0,0,0,0,0,0
136.0558,151.31,99.72877,5266.222,191.7982,-4.01942,17.75699,39.24486,16.33 yds,20.65448,-7.538917,2.0872,135.9193,0,I5,77.01773,-5.84033,0,-4.003587,-1.836743,0,0,0,0,0,0,0
111.6825,132.7556,96.14736,3530.819,771.4379,0.9342204,9.859729,19.71165,34.85 yds,7.641385,8.511871,12.62018,111.4072,0,I5,78.33675,-6.266477,0,2.09189,-8.358367,0,0,0,0,0,0,0
130.9733,144.0921,97.65495,6188.313,291.9626,-4.913488,19.67874,42.08809,23.35 yds,22.43839,-8.640806,2.7042,130.83,0,I5,78.74204,-7.62467,0,-4.820218,-2.804451,0,0,0,0,0,0,0
117.5782,133.7073,89.82234,3751.382,850.8576,-0.04441766,18.72,34.02478,33.59 yds,15.64482,8.295351,13.10944,117.4249,0,I5,78.47295,-7.972636,0,1.160394,-9.133031,0,0,0,0,0,0,0
112.2142,119.9182,88.28658,7829.806,-1137.832,-12.12184,23.48483,44.69075,59.3 yds,21.91858,-29.87258,-8.355847,112.0986,0,I5,77.91814,-1.444125,0,-14.53715,13.09302,0,0,0,0,0,0,0
95.17731,116.9796,94.92021,3838.301,1059.37,1.323768,6.940393,14.05606,50.24 yds,4.425066,8.379897,16.0216,94.55561,0,I5,83.7436,-7.926083,0,2.818932,-10.74502,0,0,0,0,0,0,0
142.6288,156.7414,103.9533,5635.898,1174.265,1.133678,18.29931,42.05062,20.57 yds,23.44976,15.61098,12.02594,142.5582,0,I5,79.01897,-9.73242,0,2.862676,-12.5951,0,0,0,0,0,0,0
124.328,139.7501,93.93417,4668.536,562.6476,-2.014014,17.18211,34.96925,25.52 yds,16.55163,0.9318851,6.92206,124.1928,0,I5,74.61033,-7.528132,0,-1.305104,-6.223029,0,0,0,0,0,0,0
150.012,161.841,107.1149,5334.154,577.6141,-1.696929,17.72812,42.57036,14.5 ft,24.62947,2.728767,6.21652,149.8862,0,I5,81.05024,-6.907937,0,-1.013558,-5.89438,0,0,0,0,0,0,0
157.1207,171.2005,109.6785,4133.465,-186.569,-4.687952,14.86547,36.57824,18.12 yds,20.77909,-15.71597,-2.586994,156.8875,0,I5,80.90923,-3.001865,0,-5.24984,2.247975,0,0,0,0,0,0,0
161.4997,173.3386,112.4624,5029.893,200.8727,-1.456802,17.69772,43.78299,24.57 ft,27.6692,-1.126257,2.28876,161.4498,0,I5,83.45779,-3.216726,0,-1.283508,-1.933218,0,0,0,0,0,0,0
132.0308,147.5624,99.02419,5091.59,902.2289,2.988027,15.53547,34.45876,26.41 yds,16.95356,15.74593,10.2067,131.9503,0,I5,79.22223,-5.339355,0,4.450965,-9.790319,0,0,0,0,0,0,0
128.8415,142.9831,96.53285,5799.995,181.3323,-4.598267,18.14272,39.61289,24.48 yds,19.71264,-8.720645,1.7916,128.6256,0,I5,78.27597,-6.292166,0,-4.639447,-1.652719,0,0,0,0,0,0,0
163.0315,176.2793,111.9324,4252.031,444.8679,-1.712786,16.86752,40.87272,11.51 yds,25.23361,2.544539,6.00555,162.9344,0,I5,80.33707,-5.761851,0,-1.207445,-4.554406,0,0,0,0,0,0,0
167.3888,181.493,113.9471,4055.613,54.2032,-5.451007,15.61172,39.64104,22.41 yds,24.20161,-14.92011,0.76578,167.1996,0,I5,82.74216,-5.930016,0,-5.732739,-0.1972761,0,0,0,0,0,0,0
156.6921,168.7361,110.8098,3987.132,1105.27,4.281316,14.34043,35.6111,32.4 yds,19.44567,28.9709,16.09372,156.7306,0,I5,80.72944,-5.729634,0,6.084867,-11.8145,0,0,0,0,0,0,0
153.5653,165.5153,108.1626,4998.553,535.0267,-0.4440242,18.58498,43.19818,21.14 ft,26.35481,6.088172,6.1445,153.4106,0,I5,78.53061,-5.425705,0,0.2859405,-5.711646,0,0,0,0,0,0,0
151.6795,162.771,108.3581,5663.997,292.6299,-0.8913284,18.46177,43.68127,8.69 ft,26.75374,1.236095,2.9615,151.6674,0,I5,83.31287,-3.45962,0,-0.5581005,-2.90152,0,0,0,0,0,0,0
149.7858,161.0822,107.2762,5600.811,393.6631,-4.436143,18.20745,42.85005,24.82 ft,25.66819,-6.846914,4.03046,149.758,0,I5,82.1552,-7.93986,0,-4.191085,-3.748775,0,0,0,0,0,0,0
152.861,167.0862,108.3905,5341.284,11.88033,-5.217135,18.24673,43.29155,15.06 yds,26.31081,-13.74528,0.12744,152.8443,0,I5,81.01311,-5.324368,0,-5.540282,0.2159138,0,0,0,0,0,0,0
153.8831,169.9427,109.2383,4923.445,930.0729,1.2317,16.2282,40.43789,19.05 yds,22.96195,15.89824,10.889,153.9252,0,I5,85.83897,-6.690964,0,2.518704,-9.209667,0,0,0,0,0,0,0
158.8321,171.3672,111.0479,4845.592,593.0674,-0.8202693,16.95407,41.90679,28.77 ft,25.32278,6.3865,7.03024,158.6351,0,I5,82.6982,-6.064085,0,-0.07485607,-5.989229,0,0,0,0,0,0,0
172.1014,185.9073,115.744,3873.967,603.0967,-0.9002057,16.79545,41.3943,22.99 yds,26.674,9.058826,8.9562,172.0093,0,I5,80.73536,-6.362339,0,-0.126738,-6.2356,0,0,0,0,0,0,0
