Mfg,Ball,Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
One Iron,Hex Soft,101.2725,110.8663,81.16146,6406.41,687.9708,0.02740607,28.4655,46.9116,28.21 yds,22.45576,3.853886,6.16476,101.1117,0,I7,67.27235,-7.450378,0,1.168277,-8.618656,0,0,0,0,0,0,0
One Iron,Hex Soft,72.9688,84.47028,67.20457,6090.542,2377.462,13.62165,23.95679,35.43031,65.6 yds,11.00332,23.76069,22.97647,72.83251,0,I7,73.68677,-9.970226,0,15,-24.97023,0,0,0,0,0,0,0
One Iron,Hex Soft,46.07075,66.64951,68.40299,3740.872,459.8128,-1.375863,8.372861,11.17461,71.97 yds,1.971446,-0.4069148,7.06042,45.60412,0,I7,74.54222,-5.886289,0,-0.7783192,-5.107969,0,0,0,0,0,0,0
One Iron,Hex Soft,126.8017,135.0192,95.81965,6560.993,558.1768,-2.127111,25.08729,48.31592,10.82 ft,28.1831,-0.06862389,4.88034,126.6462,0,I7,74.90984,-7.575557,0,-1.435563,-6.139994,0,0,0,0,0,0,0
One Iron,Hex Soft,95.68777,107.3483,77.92712,5995.983,-113.6809,-6.351295,25.10185,41.35196,34.39 yds,17.4138,-11.14693,-1.086365,95.60505,0,I7,75.67447,-5.252854,0,-6.931902,1.679049,0,0,0,0,0,0,0
One Iron,Hex Soft,96.61092,109.4556,78.80994,5615.075,1076.406,6.111256,23.50049,39.46703,36.04 yds,16.12124,15.93371,11.05197,96.42929,0,I7,75.65206,-4.292594,0,8.093732,-12.38633,0,0,0,0,0,0,0
One Iron,Hex Soft,128.3248,136.5466,96.91796,7005.748,478.0351,-2.733908,21.86229,45.40532,9.29 ft,25.03068,-2.319801,3.9126,128.2693,0,I7,80.3546,-7.083905,0,-2.249171,-4.834734,0,0,0,0,0,0,0
One Iron,Hex Soft,85.33727,108.8345,102.5006,2515.018,381.4521,-1.468783,3.315599,7.464267,29.79 yds,2.065458,-0.1719984,8.7237,76.20048,0,I7,78.4154,-5.025722,0,-1.022531,-4.003191,0,0,0,0,0,0,0
One Iron,Hex Soft,123.9084,136.7858,92.55289,4804.924,446.0047,-2.182843,19.98307,38.47168,5.57 ft,19.3856,-0.541037,5.326,123.8722,0,I7,80.77634,-6.220159,0,-1.709879,-4.51028,0,0,0,0,0,0,0
One Iron,Hex Soft,130.1859,136.9535,99.05598,7234.412,427.3729,-0.7309456,25.83293,50.63095,8.12 ft,31.48345,1.881491,3.38672,130.1805,0,I7,78.12294,-4.731008,0,-0.1691806,-4.561827,0,0,0,0,0,0,0
